p,code,initial,noise,fidelity
0.4,baseline,+,depolarizing,0.7999999999999998
0.4,baseline,+,amp_damping,0.8872983346207411
0.4,baseline,-,bit_flip,0.9999999999999998
0.4,baseline,-,phase_flip,0.5999999999999999
0.4,baseline,-,depolarizing,0.7999999999999998
0.4,baseline,-,amp_damping,0.8872983346207411
0.4,baseline,rand,bit_flip,0.6038403802651753
0.4,baseline,rand,phase_flip,0.9955736601213877
0.4,baseline,rand,depolarizing,0.8000000000000002
0.4,baseline,rand,amp_damping,0.6020756936012077
0.4,bit_flip,0,bit_flip,0.5114285714285715
0.4,bit_flip,0,phase_flip,1.0
0.4,bit_flip,0,depolarizing,0.6707692307692309
0.4,bit_flip,0,amp_damping,1.0
0.4,bit_flip,1,bit_flip,0.5114285714285715
0.4,bit_flip,1,phase_flip,1.0
0.4,bit_flip,1,depolarizing,0.6707692307692309
0.4,bit_flip,1,amp_damping,0.5114285714285716
0.4,bit_flip,+,bit_flip,0.9999999999999998
0.4,bit_flip,+,phase_flip,0.5039999999999999
0.4,bit_flip,+,depolarizing,0.6246153846153846
0.4,bit_flip,+,amp_damping,0.7904737509655558
0.4,bit_flip,-,bit_flip,0.9999999999999998
0.4,bit_flip,-,phase_flip,0.5039999999999999
0.4,bit_flip,-,depolarizing,0.6246153846153846
0.4,bit_flip,-,amp_damping,0.7904737509655558
0.4,bit_flip,rand,bit_flip,0.516119321609607
0.4,bit_flip,rand,phase_flip,0.9945113385505209
0.4,bit_flip,rand,depolarizing,0.6702584992447754
0.4,bit_flip,rand,amp_damping,0.5118367407273486
0.4,phase_flip,0,bit_flip,1.0000000000000002
0.4,phase_flip,0,phase_flip,0.5114285714285713
0.4,phase_flip,0,depolarizing,0.6707692307692308
0.4,phase_flip,0,amp_damping,0.8209043344000427
0.4,phase_flip,1,bit_flip,1.0
0.4,phase_flip,1,phase_flip,0.5114285714285713
0.4,phase_flip,1,depolarizing,0.6707692307692308
0.4,phase_flip,1,amp_damping,0.8209043344000428
0.4,phase_flip,+,bit_flip,0.5039999999999999
0.4,phase_flip,+,phase_flip,0.29999999999999993
0.4,phase_flip,+,depolarizing,0.6246153846153845
0.4,phase_flip,+,amp_damping,0.7142857142857141
0.4,phase_flip,-,bit_flip,0.5039999999999999
0.4,phase_flip,-,phase_flip,0.29999999999999993
0.4,phase_flip,-,depolarizing,0.6246153846153846
0.4,phase_flip,-,amp_damping,0.7279999999999996
0.4,phase_flip,rand,bit_flip,0.9945113385505211
0.4,phase_flip,rand,phase_flip,0.5096037420102532
0.4,phase_flip,rand,depolarizing,0.6702584992447754
0.4,phase_flip,rand,amp_damping,0.8203525773028763
0.4,five_qubit,0,bit_flip,0.5074947274947273
0.4,five_qubit,0,phase_flip,0.5374736374736376
0.4,five_qubit,0,depolarizing,0.4880966092730799
0.4,five_qubit,0,amp_damping,0.4832014728566453
0.4,five_qubit,1,bit_flip,0.5074947274947273
0.4,five_qubit,1,phase_flip,0.5374736374736376
0.4,five_qubit,1,depolarizing,0.48809660927307985
0.4,five_qubit,1,amp_damping,0.48237446844343396
0.4,five_qubit,+,bit_flip,0.5406482406482406
0.4,five_qubit,+,phase_flip,0.508129648129648
0.4,five_qubit,+,depolarizing,0.4870882059117352
0.4,five_qubit,+,amp_damping,0.4706854558948398
0.4,five_qubit,-,bit_flip,0.5406482406482406
0.4,five_qubit,-,phase_flip,0.5081296481296482
0.4,five_qubit,-,depolarizing,0.4870882059117352
0.4,five_qubit,-,amp_damping,0.4706854558948398
0.4,five_qubit,rand,bit_flip,0.5078285614165517
0.4,five_qubit,rand,phase_flip,0.5371635198811703
0.4,five_qubit,rand,depolarizing,0.48814646536735234
0.4,five_qubit,rand,amp_damping,0.4823601237238989
0.4,steane,0,bit_flip,0.5609999999999999
0.4,steane,0,phase_flip,0.7250000000000001
0.4,steane,0,depolarizing,0.4513104648974214
0.4,steane,0,amp_damping,0.4528711484593836
0.4,steane,1,bit_flip,0.4359999999999999
0.4,steane,1,phase_flip,0.711309523809524
0.4,steane,1,depolarizing,0.6007152268021835
0.4,steane,1,amp_damping,0.6082759103641457
0.4,steane,+,bit_flip,0.4999999999999999
0.4,steane,+,phase_flip,0.4999999999999999
0.4,steane,+,depolarizing,0.534683794466403
0.4,steane,+,amp_damping,0.5558165246953419
0.4,steane,-,bit_flip,0.49999999999999994
0.4,steane,-,phase_flip,0.49999999999999994
0.4,steane,-,depolarizing,0.5346837944664031
0.4,steane,-,amp_damping,0.5558165246953422
0.4,steane,rand,bit_flip,0.4363633685719003
0.4,steane,rand,phase_flip,0.7089334355529374
0.4,steane,rand,depolarizing,0.6004279723639134
0.4,steane,rand,amp_damping,0.6081808634291037
0.6,baseline,0,bit_flip,0.4
0.6,baseline,0,phase_flip,1.0
0.6,baseline,0,depolarizing,0.7000000000000001
0.6,baseline,0,amp_damping,0.9999999999999993
0.6,baseline,1,bit_flip,0.4
0.6,baseline,1,phase_flip,1.0
0.6,baseline,1,depolarizing,0.7000000000000001
0.6,baseline,1,amp_damping,0.39999999999999986
0.6,baseline,+,bit_flip,0.9999999999999998
0.6,baseline,+,phase_flip,0.39999999999999997
0.6,baseline,+,depolarizing,0.6999999999999998
0.6,baseline,+,amp_damping,0.8162277660168374
0.6,baseline,-,bit_flip,0.9999999999999998
0.6,baseline,-,phase_flip,0.39999999999999997
0.6,baseline,-,depolarizing,0.6999999999999998
0.6,baseline,-,amp_damping,0.8162277660168374
0.6,baseline,rand,bit_flip,0.40576057039776303
0.6,baseline,rand,phase_flip,0.9933604901820816
0.6,baseline,rand,depolarizing,0.7000000000000003
0.6,baseline,rand,amp_damping,0.40295065401661195
0.6,bit_flip,0,bit_flip,0.48857142857142855
0.6,bit_flip,0,phase_flip,1.0
0.6,bit_flip,0,depolarizing,0.48810810810810795
0.6,bit_flip,0,amp_damping,1.0000000000000002
0.6,bit_flip,1,bit_flip,0.48857142857142855
0.6,bit_flip,1,phase_flip,1.0
0.6,bit_flip,1,depolarizing,0.48810810810810795
0.6,bit_flip,1,amp_damping,0.48857142857142855
0.6,bit_flip,+,bit_flip,0.9999999999999998
0.6,bit_flip,+,phase_flip,0.49599999999999994
0.6,bit_flip,+,depolarizing,0.5259459459459458
0.6,bit_flip,+,amp_damping,0.6581138830084187
0.6,bit_flip,-,bit_flip,0.9999999999999998
0.6,bit_flip,-,phase_flip,0.49599999999999994
0.6,bit_flip,-,depolarizing,0.5259459459459458
0.6,bit_flip,-,amp_damping,0.6581138830084187
0.6,bit_flip,rand,bit_flip,0.49348162905333137
0.6,bit_flip,rand,phase_flip,0.9944228117529487
0.6,bit_flip,rand,depolarizing,0.4885268159344634
0.6,bit_flip,rand,amp_damping,0.4894530969337683
0.6,phase_flip,0,bit_flip,1.0
0.6,phase_flip,0,phase_flip,0.48857142857142855
0.6,phase_flip,0,depolarizing,0.48810810810810784
0.6,phase_flip,0,amp_damping,0.6667382766270598
0.6,phase_flip,1,bit_flip,1.0
0.6,phase_flip,1,phase_flip,0.48857142857142855
0.6,phase_flip,1,depolarizing,0.4881081081081081
0.6,phase_flip,1,amp_damping,0.66673827662706
0.6,phase_flip,+,bit_flip,0.49599999999999994
0.6,phase_flip,+,phase_flip,0.29999999999999993
0.6,phase_flip,+,depolarizing,0.5259459459459459
0.6,phase_flip,+,amp_damping,0.5636363636363634
0.6,phase_flip,-,bit_flip,0.49599999999999994
0.6,phase_flip,-,phase_flip,0.3
0.6,phase_flip,-,depolarizing,0.5259459459459459
0.6,phase_flip,-,amp_damping,0.6487272727272725
0.6,phase_flip,rand,bit_flip,0.9944228117529488
0.6,phase_flip,rand,phase_flip,0.4865558777245715
0.6,phase_flip,rand,depolarizing,0.48852681593446334
0.6,phase_flip,rand,amp_damping,0.6701184742342571
0.6,five_qubit,0,bit_flip,0.49250527250527254
0.6,five_qubit,0,phase_flip,0.5374736374736376
0.6,five_qubit,0,depolarizing,0.4958649779339435
0.6,five_qubit,0,amp_damping,0.4938996404112683
0.6,five_qubit,1,bit_flip,0.49250527250527254
0.6,five_qubit,1,phase_flip,0.5374736374736376
0.6,five_qubit,1,depolarizing,0.4958649779339435
0.6,five_qubit,1,amp_damping,0.4882524503919855
0.6,five_qubit,+,bit_flip,0.5406482406482405
0.6,five_qubit,+,phase_flip,0.4918703518703518
0.6,five_qubit,+,depolarizing,0.4955146768939871
0.6,five_qubit,+,amp_damping,0.47967258235757815
0.6,five_qubit,-,bit_flip,0.5406482406482406
0.6,five_qubit,-,phase_flip,0.4918703518703517
0.6,five_qubit,-,depolarizing,0.4955146768939871
0.6,five_qubit,-,amp_damping,0.4796725823575782
0.6,five_qubit,rand,bit_flip,0.4929519620894463
0.6,five_qubit,rand,phase_flip,0.5369543997863739
0.6,five_qubit,rand,depolarizing,0.4958822970369346
0.6,five_qubit,rand,amp_damping,0.48821459225237623
0.6,steane,0,bit_flip,0.5640000000000001
0.6,steane,0,phase_flip,0.7250000000000001
0.6,steane,0,depolarizing,0.43262919104233505
0.6,steane,0,amp_damping,0.4414614121510673
0.6,steane,1,bit_flip,0.439
0.6,steane,1,phase_flip,0.7113095238095238
0.6,steane,1,depolarizing,0.5820339529470971
0.6,steane,1,amp_damping,0.5773661740558295
0.6,steane,+,bit_flip,0.5000000000000001
0.6,steane,+,phase_flip,0.49999999999999994
0.6,steane,+,depolarizing,0.5097754293262879
0.6,steane,+,amp_damping,0.5242623027374986
0.6,steane,-,bit_flip,0.4999999999999999
0.6,steane,-,phase_flip,0.4999999999999999
0.6,steane,-,depolarizing,0.5097754293262878
0.6,steane,-,amp_damping,0.5242623027374986
0.6,steane,rand,bit_flip,0.43933017102281063
0.6,steane,rand,phase_flip,0.7089334355529374
0.6,steane,rand,depolarizing,0.5816627789873325
0.6,steane,rand,amp_damping,0.5772229503600194
0.8,baseline,0,bit_flip,0.19999999999999996
0.8,baseline,0,phase_flip,1.0
0.8,baseline,0,depolarizing,0.5999999999999999
0.8,baseline,0,amp_damping,0.9999999999999993
0.8,baseline,1,bit_flip,0.19999999999999996
0.8,baseline,1,phase_flip,1.0
0.8,baseline,1,depolarizing,0.5999999999999999
0.8,baseline,1,amp_damping,0.1999999999999998
0.8,baseline,+,bit_flip,0.9999999999999998
0.8,baseline,+,phase_flip,0.1999999999999999
0.8,baseline,+,depolarizing,0.5999999999999998
0.8,baseline,+,amp_damping,0.7236067977499784
0.8,baseline,-,bit_flip,0.9999999999999998
0.8,baseline,-,phase_flip,0.1999999999999999
0.8,baseline,-,depolarizing,0.5999999999999998
0.8,baseline,-,amp_damping,0.7236067977499784
0.8,baseline,rand,bit_flip,0.2076807605303506
0.8,baseline,rand,phase_flip,0.9911473202427754
0.8,baseline,rand,depolarizing,0.6
0.8,baseline,rand,amp_damping,0.20358714094844554
0.8,bit_flip,0,bit_flip,0.32923076923076927
0.8,bit_flip,0,phase_flip,1.0
0.8,bit_flip,0,depolarizing,0.5114285714285713
0.8,bit_flip,0,amp_damping,1.0000000000000002
0.8,bit_flip,1,bit_flip,0.3292307692307692
0.8,bit_flip,1,phase_flip,1.0
0.8,bit_flip,1,depolarizing,0.5114285714285713
0.8,bit_flip,1,amp_damping,0.3292307692307692
0.8,bit_flip,+,bit_flip,0.9999999999999998
0.8,bit_flip,+,phase_flip,0.39199999999999985
0.8,bit_flip,+,depolarizing,0.5042857142857141
0.8,bit_flip,+,amp_damping,0.5470751153157849
0.8,bit_flip,-,bit_flip,0.9999999999999998
0.8,bit_flip,-,phase_flip,0.39199999999999985
0.8,bit_flip,-,depolarizing,0.5042857142857141
0.8,bit_flip,-,amp_damping,0.5470751153157849
0.8,bit_flip,rand,bit_flip,0.3356707915216016
0.8,bit_flip,rand,phase_flip,0.9932719633845094
0.8,bit_flip,rand,depolarizing,0.5113495296450248
0.8,bit_flip,rand,amp_damping,0.330698960620013
0.8,phase_flip,0,bit_flip,1.0
0.8,phase_flip,0,phase_flip,0.32923076923076927
0.8,phase_flip,0,depolarizing,0.5114285714285713
0.8,phase_flip,0,amp_damping,0.6118033988749895
0.8,phase_flip,1,bit_flip,1.0
0.8,phase_flip,1,phase_flip,0.3292307692307692
0.8,phase_flip,1,depolarizing,0.5114285714285713
0.8,phase_flip,1,amp_damping,0.6118033988749894
0.8,phase_flip,+,bit_flip,0.39199999999999985
0.8,phase_flip,+,phase_flip,0.5999999999999999
0.8,phase_flip,+,depolarizing,0.5042857142857141
0.8,phase_flip,+,amp_damping,0.44999999999999984
0.8,phase_flip,-,bit_flip,0.39199999999999985
0.8,phase_flip,-,phase_flip,0.5999999999999999
0.8,phase_flip,-,depolarizing,0.5042857142857141
0.8,phase_flip,-,amp_damping,0.6099999999999997
0.8,phase_flip,rand,bit_flip,0.9932719633845095
0.8,phase_flip,rand,phase_flip,0.3314788354883641
0.8,phase_flip,rand,depolarizing,0.5113495296450249
0.8,phase_flip,rand,amp_damping,0.6186929830611834
0.8,five_qubit,0,bit_flip,0.4775158175158176
0.8,five_qubit,0,phase_flip,0.5374736374736373
0.8,five_qubit,0,depolarizing,0.49942348250040564
0.8,five_qubit,0,amp_damping,0.5093684093684093
0.8,five_qubit,1,bit_flip,0.4775158175158174
0.8,five_qubit,1,phase_flip,0.5374736374736376
0.8,five_qubit,1,depolarizing,0.49942348250040564
0.8,five_qubit,1,amp_damping,0.4853852813852814
0.8,five_qubit,+,bit_flip,0.5406482406482404
0.8,five_qubit,+,phase_flip,0.4756110556110556
